,survey_id,survey_date,survey_name,question_description,response_total,response_1_text,response_1_percent,response_2_text,response_2_percent,response_3_text,response_3_percent,response_4_text,response_4_percent,response_5_text,response_5_percent,response_6_text,response_6_percent,response_7_text,response_7_percent
22,1114,2018-01-01,MBTA Customer Opinion Panel,The mbta provides reliable public transportation services.,883,Strongly Disagree,0.2048,Disagree,0.2048,Slightly Disagree,0.1567,Neither Agree nor Disagree,0.1157,Slightly Agree,0.2078,Agree,0.1688,Strongly Agree,0.0245
23,1115,2018-01-01,MBTA Customer Opinion Panel,The mbta is a cost-conscious organization.,880,Strongly Disagree,0.1712,Disagree,0.1712,Slightly Disagree,0.1343,Neither Agree nor Disagree,0.2137,Slightly Agree,0.1769,Agree,0.1535,Strongly Agree,0.0292
24,1116,2018-01-01,MBTA Customer Opinion Panel,The mbta uses technology to meet the needs and demands of its riders.,883,Strongly Disagree,0.1082,Disagree,0.1082,Slightly Disagree,0.1244,Neither Agree nor Disagree,0.166,Slightly Agree,0.2495,Agree,0.1823,Strongly Agree,0.0394
25,1117,2018-01-01,MBTA Customer Opinion Panel,The mbta is a good value for the money.,883,Strongly Disagree,0.1138,Disagree,0.1138,Slightly Disagree,0.1057,Neither Agree nor Disagree,0.159,Slightly Agree,0.184,Agree,0.2333,Strongly Agree,0.1042
26,1118,2018-01-01,MBTA Customer Opinion Panel,The mbta has a fleet of trains and buses that are clean and well maintained.,882,Strongly Disagree,0.1873,Disagree,0.1873,Slightly Disagree,0.1473,Neither Agree nor Disagree,0.1433,Slightly Agree,0.1832,Agree,0.1406,Strongly Agree,0.0234
27,1119,2018-01-01,MBTA Customer Opinion Panel,Wait time at stop,884,Unacceptable,0.1226,Very Poor,0.1226,Poor,0.1141,Fair,0.109,Good,0.0769,Very Good,0.2979,Excellent,0.1932
28,1120,2018-01-01,MBTA Customer Opinion Panel,Stop condition &amp; cleanliness,869,Unacceptable,0.0549,Very Poor,0.0549,Poor,0.1156,Fair,0.191,Good,0.1162,Very Good,0.3234,Excellent,0.114
29,1121,2018-01-01,MBTA Customer Opinion Panel,Vehicle crowdedness,883,Unacceptable,0.1177,Very Poor,0.1177,Poor,0.0965,Fair,0.1258,Good,0.1151,Very Good,0.2976,Excellent,0.1626
30,1122,2018-01-01,MBTA Customer Opinion Panel,Vehicle cleanliness,879,Unacceptable,0.0456,Very Poor,0.0456,Poor,0.0894,Fair,0.2025,Good,0.1426,Very Good,0.3601,Excellent,0.0931
31,1123,2018-01-01,MBTA Customer Opinion Panel,Speed/travel time,885,Unacceptable,0.1114,Very Poor,0.1114,Poor,0.1009,Fair,0.1355,Good,0.1438,Very Good,0.2961,Excellent,0.1357
32,1124,2018-01-01,MBTA Customer Opinion Panel,Parking availability,278,Unacceptable,0.1255,Very Poor,0.1255,Poor,0.0482,Fair,0.239,Good,0.0778,Very Good,0.2943,Excellent,0.1293
33,1125,2018-01-01,MBTA Customer Opinion Panel,Real-time communications,833,Unacceptable,0.1352,Very Poor,0.1352,Poor,0.0921,Fair,0.1449,Good,0.1278,Very Good,0.3034,Excellent,0.0924
34,1126,2018-01-01,MBTA Customer Opinion Panel,How satisfied are you with the MBTA's communication overall?,895,Extremely Dissatisfied,0.0914,Very Dissatisfied,0.0914,Somewhat Dissatisfied,0.1425,Neutral,0.1344,Somewhat Satisfied,0.2216,Very Satisfied,0.246,Extremely Satisfied,0.0454
35,1127,2018-01-01,MBTA Customer Opinion Panel,,886,Extremely Dissatisfied,0.1247,Very Dissatisfied,0.1247,Somewhat Dissatisfied,0.1027,Neutral,0.1025,Somewhat Satisfied,0.1444,Very Satisfied,0.3455,Extremely Satisfied,0.0878
0,1234,2018-11-01,MBTA Customer Opinion Panel,How would you rate the mbta overall?,1391,Extremely Dissatisfied,0.0513,Very Dissatisfied,0.0513,Somewhat Dissatisfied,0.1403,Neutral,0.0918,Somewhat Satisfied,0.2707,Very Satisfied,0.3107,Extremely Satisfied,0.0359
1,1235,2018-11-01,MBTA Customer Opinion Panel,How would you rate your most recent trip?,1324,Extremely Dissatisfied,0.0622,Very Dissatisfied,0.0622,Somewhat Dissatisfied,0.0984,Neutral,0.1054,Somewhat Satisfied,0.1808,Very Satisfied,0.3782,Extremely Satisfied,0.1051
2,1236,2018-11-01,MBTA Customer Opinion Panel,The mbta provides reliable public transportation services.,1362,Strongly Disagree,0.1041,Disagree,0.1041,Slightly Disagree,0.1751,Neither Agree nor Disagree,0.1038,Slightly Agree,0.2748,Agree,0.1775,Strongly Agree,0.0345
3,1237,2018-11-01,MBTA Customer Opinion Panel,How satisfied are you with the MBTA's communication overall?,1391,Extremely Dissatisfied,0.0551,Very Dissatisfied,0.0551,Somewhat Dissatisfied,0.116,Neutral,0.1348,Somewhat Satisfied,0.2896,Very Satisfied,0.2704,Extremely Satisfied,0.0489
4,1275,2018-11-01,MBTA Customer Opinion Panel,How would you rate the mbta overall?,1391,Extremely Dissatisfied,0.0513,Very Dissatisfied,0.0513,Somewhat Dissatisfied,0.1403,Neutral,0.0918,Somewhat Satisfied,0.2707,Very Satisfied,0.3107,Extremely Satisfied,0.0359
5,1276,2018-11-01,MBTA Customer Opinion Panel,How would you rate your most recent trip?,1324,Extremely Dissatisfied,0.0622,Very Dissatisfied,0.0622,Somewhat Dissatisfied,0.0984,Neutral,0.1054,Somewhat Satisfied,0.1808,Very Satisfied,0.3782,Extremely Satisfied,0.1051
6,1277,2018-11-01,MBTA Customer Opinion Panel,The mbta provides reliable public transportation services.,1362,Strongly Disagree,0.1041,Disagree,0.1041,Slightly Disagree,0.1751,Neither Agree nor Disagree,0.1038,Slightly Agree,0.2748,Agree,0.1775,Strongly Agree,0.0345
7,1278,2018-11-01,MBTA Customer Opinion Panel,How satisfied are you with the MBTA's communication overall?,1391,Extremely Dissatisfied,0.0551,Very Dissatisfied,0.0551,Somewhat Dissatisfied,0.116,Neutral,0.1348,Somewhat Satisfied,0.2896,Very Satisfied,0.2704,Extremely Satisfied,0.0489
0,1972,2019-06-01,MBTA Customer Opinion Panel,How satisfied are you with the MBTA's communication overall?,1261,Extremely Dissatisfied,0.1437,Very Dissatisfied,0.1437,Somewhat Dissatisfied,0.1672,Neutral,0.1357,Somewhat Satisfied,0.1877,Very Satisfied,0.1751,Extremely Satisfied,0.0245
1,1973,2019-06-01,MBTA Customer Opinion Panel,How would you rate the mbta overall?,1261,Extremely Dissatisfied,0.1916,Very Dissatisfied,0.1916,Somewhat Dissatisfied,0.183,Neutral,0.0879,Somewhat Satisfied,0.1907,Very Satisfied,0.1597,Extremely Satisfied,0.0247
2,1974,2019-06-01,MBTA Customer Opinion Panel,The mbta provides reliable public transportation services.,1256,Strongly Disagree,0.2654,Disagree,0.2654,Slightly Disagree,0.169,Neither Agree nor Disagree,0.0937,Slightly Agree,0.1877,Agree,0.0808,Strongly Agree,0.0106
3,1975,2019-06-01,MBTA Customer Opinion Panel,How would you rate your most recent trip?,1258,Extremely Dissatisfied,0.1379,Very Dissatisfied,0.1379,Somewhat Dissatisfied,0.1327,Neutral,0.1082,Somewhat Satisfied,0.1386,Very Satisfied,0.2795,Extremely Satisfied,0.0705
0,446,2017-10-01,MBTA Customer Opinion Panel,How would you rate the mbta overall?,994,Extremely Dissatisfied,0.063,Very Dissatisfied,0.063,Somewhat Dissatisfied,0.1217,Neutral,0.0856,Somewhat Satisfied,0.26479999989999997,Very Satisfied,0.3173,Extremely Satisfied,0.0549
1,447,2017-10-01,MBTA Customer Opinion Panel,How would you rate your most recent trip?,974,Extremely Dissatisfied,0.076,Very Dissatisfied,0.076,Somewhat Dissatisfied,0.099,Neutral,0.1221,Somewhat Satisfied,0.1698,Very Satisfied,0.3484,Extremely Satisfied,0.101
2,448,2017-10-01,MBTA Customer Opinion Panel,How likely are you to continue using the mbta in the future?,967,Extremely Unlikely,0.0074,Very Unlikely,0.0074,Somewhat Unlikely,0.008,Neither Likely nor Unlikely,0.0358,Somewhat Likely,0.0585,Very Likely,0.2304,Extremely Likely,0.6475
3,449,2017-10-01,MBTA Customer Opinion Panel,How likely are you to recommend the mbta to a friend or colleague?,968,Extremely Unlikely,0.0745,Very Unlikely,0.0745,Somewhat Unlikely,0.056,Neither Likely nor Unlikely,0.1456,Somewhat Likely,0.1832,Very Likely,0.217,Extremely Likely,0.2772
4,450,2017-10-01,MBTA Customer Opinion Panel,The mbta provides reliable public transportation services.,965,Strongly Disagree,0.1466,Disagree,0.1466,Slightly Disagree,0.1456,Neither Agree nor Disagree,0.1182,Slightly Agree,0.2453,Agree,0.1948,Strongly Agree,0.0482
5,451,2017-10-01,MBTA Customer Opinion Panel,The mbta is a cost-conscious organization.,963,Strongly Disagree,0.1411,Disagree,0.1411,Slightly Disagree,0.1333999999,Neither Agree nor Disagree,0.2385,Slightly Agree,0.1735,Agree,0.1389,Strongly Agree,0.0479
6,452,2017-10-01,MBTA Customer Opinion Panel,The mbta uses technology to meet the needs and demands of its riders.,964,Strongly Disagree,0.0882,Disagree,0.0882,Slightly Disagree,0.1206,Neither Agree nor Disagree,0.15,Slightly Agree,0.2685,Agree,0.2242,Strongly Agree,0.0467
7,453,2017-10-01,MBTA Customer Opinion Panel,The mbta is a good value for the money.,964,Strongly Disagree,0.1007,Disagree,0.1007,Slightly Disagree,0.1179,Neither Agree nor Disagree,0.1517,Slightly Agree,0.1974,Agree,0.24,Strongly Agree,0.1337
8,454,2017-10-01,MBTA Customer Opinion Panel,The mbta has a fleet of trains and buses that are clean and well maintained.,964,Strongly Disagree,0.1521,Disagree,0.1521,Slightly Disagree,0.1597,Neither Agree nor Disagree,0.1389,Slightly Agree,0.2328,Agree,0.1701,Strongly Agree,0.0316
9,455,2017-10-01,MBTA Customer Opinion Panel,Wait time at stop,971,Unacceptable,0.0867,Very Poor,0.0867,Poor,0.1012,Fair,0.114,Good,0.1034,Very Good,0.3068,Excellent,0.2221
10,456,2017-10-01,MBTA Customer Opinion Panel,Stop condition &amp; cleanliness,960,Unacceptable,0.0294,Very Poor,0.0294,Poor,0.0799,Fair,0.1763,Good,0.1285,Very Good,0.4023,Excellent,0.1187
11,457,2017-10-01,MBTA Customer Opinion Panel,Vehicle crowdedness,969,Unacceptable,0.1128,Very Poor,0.1128,Poor,0.1148,Fair,0.1099,Good,0.1064,Very Good,0.3275,Excellent,0.1544
12,458,2017-10-01,MBTA Customer Opinion Panel,Vehicle cleanliness,963,Unacceptable,0.0258,Very Poor,0.0258,Poor,0.0766,Fair,0.1632,Good,0.1422,Very Good,0.4093,Excellent,0.1386
13,459,2017-10-01,MBTA Customer Opinion Panel,Speed/travel time,972,Unacceptable,0.085,Very Poor,0.085,Poor,0.1335,Fair,0.102,Good,0.1473,Very Good,0.3162,Excellent,0.1349
14,460,2017-10-01,MBTA Customer Opinion Panel,Parking availability,327,Unacceptable,0.0637,Very Poor,0.0637,Poor,0.0529,Fair,0.2701,Good,0.0972,Very Good,0.2804,Excellent,0.1688
15,461,2017-10-01,MBTA Customer Opinion Panel,Real-time communications,922,Unacceptable,0.0829,Very Poor,0.0829,Poor,0.0912,Fair,0.157,Good,0.1258,Very Good,0.3166,Excellent,0.1152
16,462,2017-10-01,MBTA Customer Opinion Panel,How satisfied are you with the MBTA's communication overall?,994,Extremely Dissatisfied,0.0524,Very Dissatisfied,0.0524,Somewhat Dissatisfied,0.1264,Neutral,0.1432,Somewhat Satisfied,0.2431,Very Satisfied,0.2834,Extremely Satisfied,0.0452
17,463,2017-10-01,MBTA Customer Opinion Panel,,974,Extremely Dissatisfied,0.076,Very Dissatisfied,0.076,Somewhat Dissatisfied,0.099,Neutral,0.1221,Somewhat Satisfied,0.1698,Very Satisfied,0.3484,Extremely Satisfied,0.101
18,1056,2017-10-01,MBTA Customer Opinion Panel,How would you rate the mbta overall?,994,Extremely Dissatisfied,0.063,Very Dissatisfied,0.063,Somewhat Dissatisfied,0.1217,Neutral,0.0856,Somewhat Satisfied,0.26479999989999997,Very Satisfied,0.3173,Extremely Satisfied,0.0549
19,1057,2017-10-01,MBTA Customer Opinion Panel,How would you rate your most recent trip?,974,Extremely Dissatisfied,0.076,Very Dissatisfied,0.076,Somewhat Dissatisfied,0.099,Neutral,0.1221,Somewhat Satisfied,0.1698,Very Satisfied,0.3484,Extremely Satisfied,0.101
20,1058,2017-10-01,MBTA Customer Opinion Panel,How likely are you to continue using the mbta in the future?,967,Extremely Unlikely,0.0074,Very Unlikely,0.0074,Somewhat Unlikely,0.008,Neither Likely nor Unlikely,0.0358,Somewhat Likely,0.0585,Very Likely,0.2304,Extremely Likely,0.6475
21,1059,2017-10-01,MBTA Customer Opinion Panel,How likely are you to recommend the mbta to a friend or colleague?,968,Extremely Unlikely,0.0745,Very Unlikely,0.0745,Somewhat Unlikely,0.056,Neither Likely nor Unlikely,0.1456,Somewhat Likely,0.1832,Very Likely,0.217,Extremely Likely,0.2772
22,1060,2017-10-01,MBTA Customer Opinion Panel,The mbta provides reliable public transportation services.,965,Strongly Disagree,0.1466,Disagree,0.1466,Slightly Disagree,0.1456,Neither Agree nor Disagree,0.1182,Slightly Agree,0.2453,Agree,0.1948,Strongly Agree,0.0482
23,1061,2017-10-01,MBTA Customer Opinion Panel,The mbta is a cost-conscious organization.,963,Strongly Disagree,0.1411,Disagree,0.1411,Slightly Disagree,0.1333999999,Neither Agree nor Disagree,0.2385,Slightly Agree,0.1735,Agree,0.1389,Strongly Agree,0.0479
24,1062,2017-10-01,MBTA Customer Opinion Panel,The mbta uses technology to meet the needs and demands of its riders.,964,Strongly Disagree,0.0882,Disagree,0.0882,Slightly Disagree,0.1206,Neither Agree nor Disagree,0.15,Slightly Agree,0.2685,Agree,0.2242,Strongly Agree,0.0467
25,1063,2017-10-01,MBTA Customer Opinion Panel,The mbta is a good value for the money.,964,Strongly Disagree,0.1007,Disagree,0.1007,Slightly Disagree,0.1179,Neither Agree nor Disagree,0.1517,Slightly Agree,0.1974,Agree,0.24,Strongly Agree,0.1337
26,1064,2017-10-01,MBTA Customer Opinion Panel,The mbta has a fleet of trains and buses that are clean and well maintained.,964,Strongly Disagree,0.1521,Disagree,0.1521,Slightly Disagree,0.1597,Neither Agree nor Disagree,0.1389,Slightly Agree,0.2328,Agree,0.1701,Strongly Agree,0.0316
27,1065,2017-10-01,MBTA Customer Opinion Panel,Wait time at stop,971,Unacceptable,0.0867,Very Poor,0.0867,Poor,0.1012,Fair,0.114,Good,0.1034,Very Good,0.3068,Excellent,0.2221
28,1066,2017-10-01,MBTA Customer Opinion Panel,Stop condition &amp; cleanliness,960,Unacceptable,0.0294,Very Poor,0.0294,Poor,0.0799,Fair,0.1763,Good,0.1285,Very Good,0.4023,Excellent,0.1187
29,1067,2017-10-01,MBTA Customer Opinion Panel,Vehicle crowdedness,969,Unacceptable,0.1128,Very Poor,0.1128,Poor,0.1148,Fair,0.1099,Good,0.1064,Very Good,0.3275,Excellent,0.1544
30,1068,2017-10-01,MBTA Customer Opinion Panel,Vehicle cleanliness,963,Unacceptable,0.0258,Very Poor,0.0258,Poor,0.0766,Fair,0.1632,Good,0.1422,Very Good,0.4093,Excellent,0.1386
31,1069,2017-10-01,MBTA Customer Opinion Panel,Speed/travel time,972,Unacceptable,0.085,Very Poor,0.085,Poor,0.1335,Fair,0.102,Good,0.1473,Very Good,0.3162,Excellent,0.1349
32,1070,2017-10-01,MBTA Customer Opinion Panel,Parking availability,327,Unacceptable,0.0637,Very Poor,0.0637,Poor,0.0529,Fair,0.2701,Good,0.0972,Very Good,0.2804,Excellent,0.1688
33,1071,2017-10-01,MBTA Customer Opinion Panel,Real-time communications,922,Unacceptable,0.0829,Very Poor,0.0829,Poor,0.0912,Fair,0.157,Good,0.1258,Very Good,0.3166,Excellent,0.1152
34,1072,2017-10-01,MBTA Customer Opinion Panel,How satisfied are you with the MBTA's communication overall?,994,Extremely Dissatisfied,0.0524,Very Dissatisfied,0.0524,Somewhat Dissatisfied,0.1264,Neutral,0.1432,Somewhat Satisfied,0.2431,Very Satisfied,0.2834,Extremely Satisfied,0.0452
35,1073,2017-10-01,MBTA Customer Opinion Panel,,974,Extremely Dissatisfied,0.076,Very Dissatisfied,0.076,Somewhat Dissatisfied,0.099,Neutral,0.1221,Somewhat Satisfied,0.1698,Very Satisfied,0.3484,Extremely Satisfied,0.101
0,24,2016-03-01,MBTA Customer Opinion Panel,How would you rate the mbta overall?,513,Extremely Dissatisfied,0.0266,Very Dissatisfied,0.0266,Somewhat Dissatisfied,0.1743,Neutral,0.0756,Somewhat Satisfied,0.3613,Very Satisfied,0.2352,Extremely Satisfied,0.0148
1,25,2016-03-01,MBTA Customer Opinion Panel,How would you rate your most recent trip?,498,Extremely Dissatisfied,0.0376,Very Dissatisfied,0.0376,Somewhat Dissatisfied,0.1351,Neutral,0.1317,Somewhat Satisfied,0.252,Very Satisfied,0.3418,Extremely Satisfied,0.0675
2,26,2016-03-01,MBTA Customer Opinion Panel,How likely are you to continue using the mbta in the future?,498,Extremely Unlikely,0.0133,Very Unlikely,0.0133,Somewhat Unlikely,0.0152,Neither Likely nor Unlikely,0.0302,Somewhat Likely,0.0929,Very Likely,0.2894,Extremely Likely,0.5538
3,27,2016-03-01,MBTA Customer Opinion Panel,How likely are you to recommend the mbta to a friend or colleague?,493,Extremely Unlikely,0.0568,Very Unlikely,0.0568,Somewhat Unlikely,0.0498,Neither Likely nor Unlikely,0.208,Somewhat Likely,0.2111,Very Likely,0.1788,Extremely Likely,0.2338
4,28,2016-03-01,MBTA Customer Opinion Panel,The mbta provides reliable public transportation services.,491,Strongly Disagree,0.1296,Disagree,0.1296,Slightly Disagree,0.1882,Neither Agree nor Disagree,0.0734,Slightly Agree,0.2242,Agree,0.1966,Strongly Agree,0.0437
5,29,2016-03-01,MBTA Customer Opinion Panel,The mbta is a cost-conscious organization.,491,Strongly Disagree,0.2816,Disagree,0.2816,Slightly Disagree,0.1137,Neither Agree nor Disagree,0.1848,Slightly Agree,0.1285,Agree,0.0745,Strongly Agree,0.0358
6,30,2016-03-01,MBTA Customer Opinion Panel,The mbta uses technology to meet the needs and demands of its riders.,491,Strongly Disagree,0.0915,Disagree,0.0915,Slightly Disagree,0.1328999999,Neither Agree nor Disagree,0.1207,Slightly Agree,0.2849,Agree,0.2308,Strongly Agree,0.0401
7,31,2016-03-01,MBTA Customer Opinion Panel,The mbta is a good value for the money.,491,Strongly Disagree,0.0792,Disagree,0.0792,Slightly Disagree,0.1503,Neither Agree nor Disagree,0.1318999999,Slightly Agree,0.1991,Agree,0.2368,Strongly Agree,0.0946
8,32,2016-03-01,MBTA Customer Opinion Panel,The mbta has a fleet of trains and buses that are clean and well maintained.,490,Strongly Disagree,0.1585,Disagree,0.1585,Slightly Disagree,0.1833,Neither Agree nor Disagree,0.1136,Slightly Agree,0.1717,Agree,0.1567,Strongly Agree,0.0142
9,33,2016-03-01,MBTA Customer Opinion Panel,Wait time at stop,492,Unacceptable,0.0474,Very Poor,0.0474,Poor,0.0659,Fair,0.1515,Good,0.2325,Very Good,0.2136,Excellent,0.25269999989999997
10,34,2016-03-01,MBTA Customer Opinion Panel,Stop condition &amp; cleanliness,487,Unacceptable,0.0174,Very Poor,0.0174,Poor,0.059,Fair,0.26329999989999997,Good,0.2874,Very Good,0.2043,Excellent,0.1374
11,35,2016-03-01,MBTA Customer Opinion Panel,Vehicle crowdedness,496,Unacceptable,0.0396,Very Poor,0.0396,Poor,0.1077,Fair,0.2232,Good,0.2156,Very Good,0.1651,Excellent,0.1781
12,36,2016-03-01,MBTA Customer Opinion Panel,Vehicle cleanliness,493,Unacceptable,0.0146,Very Poor,0.0146,Poor,0.0719,Fair,0.2237,Good,0.3453,Very Good,0.1629,Excellent,0.1432
13,37,2016-03-01,MBTA Customer Opinion Panel,Speed/travel time,497,Unacceptable,0.0246,Very Poor,0.0246,Poor,0.0624,Fair,0.2151,Good,0.3042,Very Good,0.1939,Excellent,0.1743
14,38,2016-03-01,MBTA Customer Opinion Panel,Parking availability,180,Unacceptable,0.0494,Very Poor,0.0494,Poor,0.0937,Fair,0.1825,Good,0.1981,Very Good,0.1444,Excellent,0.2825
15,39,2016-03-01,MBTA Customer Opinion Panel,Real-time communications,400,Unacceptable,0.044,Very Poor,0.044,Poor,0.0796,Fair,0.1762,Good,0.3098,Very Good,0.203,Excellent,0.1531
16,40,2016-03-01,MBTA Customer Opinion Panel,Mbta website,432,Extremely Dissatisfied,0.0195,Very Dissatisfied,0.0195,Somewhat Dissatisfied,0.116,Neutral,0.2224,Somewhat Satisfied,0.2581999999,Very Satisfied,0.2699,Extremely Satisfied,0.0882
